Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3254.0910839087733
ACCEGCATKHNRXUHW,1929.6808924512723
NKCE6GJ5XVJDXNNZ,11766.891291984988
NKCEB8BK3ZXDHDHM,9375.082105269339
TOPEFDXSAHRNPF94,5594.011218519527
ACCE558KZHEPZYMG,9402.202001235293
ACCEAZCVAMFHDPY7,5292.988233133505
NKCDYNY37JPBGBVM,2604.322519738673
NKCEY8KWY33FCUYD,7645.432676028227
RNGE4YPTQYRECV9J,4552.575445748859
NKCE88AHBHJZREXH,3850.727986560336
CLTEJ5ZZGBP4JGGE,8001.467095309087
WATE3NWH5FZWAMDA,8234.937036193745
CAGE53FSFZVFPFHQ,1651.9542424250133
PCSEAKVBFFPGCHNZ,3748.3907318201254
WATDFFH3KJYBTYGG,7200.831180252778
NKCDWHFQSCHHYZMP,2738.0894537160834
RNGEB2PG3Q5RKDW6,3423.3851626090172
NKCE5UY9HHPZGGUZ,4457.213060225138
KTAEHETW3ZCMFMJR,4158.044947229551
BRAEBBYRVF9MHJHU,7768.591955988208
NKCEAX7HAQ2RJA3Q,10228.0377510534
CRTECN2RQZWBSP9W,4974.141091940057
WATDEWZ9UHSEHGZG,9265.368233329878
PTPEYW8HNV6G9YYR,2859.3947176107035
ACCEAMGZRRYVAHDC,4949.970639975206
SRTEHHXG8MUXTGPA,5998.667232432314
SKIE4S4NN4MHYM3Z,5136.368437068132
HMBE7G34YHWPWKYN,7212.29170706975
LLIEGTMFJBD7ZZZM,13796.010641868326
ACCEJGH6JVTM4CBH,850.7249744882594
ACCDQDYBXJ9HZF37,10128.628723440159
RNGE88FRGZCXNKUG,663.9588710898231
NKCE7M3QNNPZDXHQ,10342.531277820712
VLBEGFFDP9H6WG2T,3527.1526702050905
TOPEAFG4YEQSH5TT,2432.6416974428926
WATEYAP3K2QQQWDH,5235.094336503033
PCSEBDFUFJWGARNX,10709.731977877216
SWTEGXQFZY95SKG7,4903.750015360038
BRAEGJFXSM9ZQ6SK,6975.644916524721
CAGE6FYKP34GA4GF,7519.867564659278
HMBEJCMH78VJF3M8,4387.0281067508895
HIFEB7J3GSTVN5XJ,10616.098909752105
PBXE6ZHNGZREWWHR,4786.437817896059
PCSEAKVBNXFGZBKB,6824.275359131773
BRAEBBMQQNZ9RZWR,5743.255821825205
ACCEGKFCXHZZH44S,744.8419310880121
SHODXQRRGKZ74U9M,4313.024859030957
DREE2Y6DVEKVVQQS,4402.6046638240505
PBXE8ZHHG5Y525BT,6842.530535505298
CTTEH9FXZHGFKUA3,7974.421291972007
ACCDXFZXGQTBTM6N,3721.866410662459
NKCE9PFF3TT4KSQJ,7960.881191586594
BRAE6NZAZK77HXZK,894.4786738422266
NKCE4TV42BHDP63U,3412.480050913364
